release_date,spawning_year,season_day,offset_days,n_particles,n_M1,frac_M1,n_missing,n_verify_mismatch,verify_max_diff,verify_mean_diff
1997-03-02,1997,107,0,545807,96976,0.1776745259771311,0,0.0,0.039634764194488525,1.246953976645923e-07
1997-03-02,1997,107,23,545807,93590,0.17147086790752042,0,,,
1997-03-02,1997,107,24,545807,93539,0.17137742828508978,0,,,
1997-03-02,1997,107,25,545807,94235,0.1726526043088491,0,,,
1997-03-02,1997,107,26,545807,94678,0.17346424651937406,0,,,
1997-03-03,1997,108,0,545807,98330,0.1801552563451916,0,0.0,0.08675849437713623,3.9267856709981567e-07
1997-03-03,1997,108,23,545807,93648,0.17157713257616702,0,,,
1997-03-03,1997,108,24,545807,93589,0.171469035758061,0,,,
1997-03-03,1997,108,25,545807,93537,0.17137376398617093,0,,,
1997-03-03,1997,108,26,545807,94235,0.1726526043088491,0,,,
1997-03-04,1997,109,0,545807,98807,0.181029191637337,0,0.0,0.06384864449501038,2.629534167542856e-07
1997-03-04,1997,109,23,545807,93913,0.17206265218291447,0,,,
1997-03-04,1997,109,24,545807,93649,0.17157896472562645,0,,,
1997-03-04,1997,109,25,545807,93589,0.171469035758061,0,,,
1997-03-04,1997,109,26,545807,93538,0.17137559613563036,0,,,
1997-03-05,1997,110,0,545807,98425,0.1803293105438369,0,0.0,0.016952097415924072,8.961081208576951e-08
1997-03-05,1997,110,23,545807,94434,0.17301720205127452,0,,,
1997-03-05,1997,110,24,545807,93912,0.17206082003345505,0,,,
1997-03-05,1997,110,25,545807,93648,0.17157713257616702,0,,,
1997-03-05,1997,110,26,545807,93589,0.171469035758061,0,,,
1997-03-06,1997,111,0,545807,98469,0.1804099251200516,0,0.0,0.028536736965179443,1.3161432107244662e-07
1997-03-06,1997,111,23,545807,94556,0.1732407242853243,0,,,
1997-03-06,1997,111,24,545807,94434,0.17301720205127452,0,,,
1997-03-06,1997,111,25,545807,93912,0.17206082003345505,0,,,
1997-03-06,1997,111,26,545807,93648,0.17157713257616702,0,,,
1997-03-07,1997,112,0,545807,99212,0.18177121216840386,0,0.0,0.015939511358737946,1.4716149172706424e-07
1997-03-07,1997,112,23,545807,94125,0.17245106786831244,0,,,
1997-03-07,1997,112,24,545807,94556,0.1732407242853243,0,,,
1997-03-07,1997,112,25,545807,94435,0.17301903420073395,0,,,
1997-03-07,1997,112,26,545807,93914,0.1720644843323739,0,,,
1997-03-08,1997,113,0,545807,98698,0.18082948734625975,0,0.0,0.03206953406333923,3.0013434024526034e-07
1997-03-08,1997,113,23,545807,92467,0.16941336406458693,0,,,
1997-03-08,1997,113,24,545807,94125,0.17245106786831244,0,,,
1997-03-08,1997,113,25,545807,94556,0.1732407242853243,0,,,
1997-03-08,1997,113,26,545807,94435,0.17301903420073395,0,,,
1997-03-09,1997,114,0,545807,98233,0.17997753784762746,0,1.0,0.1960533857345581,5.846116986739964e-07
1997-03-09,1997,114,23,545807,90906,0.1665533787584256,0,,,
1997-03-09,1997,114,24,545807,92468,0.16941519621404635,0,,,
1997-03-09,1997,114,25,545807,94125,0.17245106786831244,0,,,
1997-03-09,1997,114,26,545807,94556,0.1732407242853243,0,,,
1997-03-10,1997,115,0,545807,101856,0.1866154153391217,0,1.0,0.0354747474193573,2.4442995358811436e-07
1997-03-10,1997,115,23,545807,92358,0.1692136597735097,0,,,
1997-03-10,1997,115,24,545807,90907,0.16655521090788503,0,,,
1997-03-10,1997,115,25,545807,92468,0.16941519621404635,0,,,
1997-03-10,1997,115,26,545807,94125,0.17245106786831244,0,,,
1997-03-11,1997,116,0,545807,103867,0.19029986790202397,0,0.0,0.34847256541252136,9.162008763225151e-07
1997-03-11,1997,116,23,545807,94252,0.1726837508496593,0,,,
1997-03-11,1997,116,24,545807,92359,0.1692154919229691,0,,,
1997-03-11,1997,116,25,545807,90907,0.16655521090788503,0,,,
1997-03-11,1997,116,26,545807,92468,0.16941519621404635,0,,,
1997-03-12,1997,117,0,545807,104237,0.19097776320201096,0,0.0,0.1735040843486786,5.827599555902501e-07
1997-03-12,1997,117,23,545807,95871,0.17565000082446725,0,,,
1997-03-12,1997,117,24,545807,94254,0.17268741514857816,0,,,
1997-03-12,1997,117,25,545807,92359,0.1692154919229691,0,,,
1997-03-12,1997,117,26,545807,90907,0.16655521090788503,0,,,
1997-03-13,1997,118,0,545807,104948,0.19228042146766164,0,0.0,0.15452945232391357,5.667853106048526e-07
1997-03-13,1997,118,23,545807,96656,0.17708823815011535,0,,,
1997-03-13,1997,118,24,545807,95872,0.17565183297392667,0,,,
1997-03-13,1997,118,25,545807,94253,0.17268558299911874,0,,,
1997-03-13,1997,118,26,545807,92358,0.1692136597735097,0,,,
1997-03-14,1997,119,0,545807,104415,0.1913038858057885,0,0.0,0.0257718563079834,1.6186221840298378e-07
1997-03-14,1997,119,23,545807,97354,0.17836707847279348,0,,,
1997-03-14,1997,119,24,545807,96655,0.17708640600065592,0,,,
1997-03-14,1997,119,25,545807,95873,0.1756536651233861,0,,,
1997-03-14,1997,119,26,545807,94253,0.17268558299911874,0,,,
1997-11-15,1998,0,0,545807,303672,0.5563724906422967,0,4.0,0.20486512780189514,1.9222836553828986e-06
1997-11-15,1998,0,23,545807,323962,0.5935468031740158,0,,,
1997-11-15,1998,0,24,545807,322591,0.591034926265145,0,,,
1997-11-15,1998,0,25,545807,322812,0.5914398312956778,0,,,
1997-11-15,1998,0,26,545807,324163,0.59391506521536,0,,,
1997-11-16,1998,1,0,545807,303463,0.5559895714052769,0,0.0,0.08501790091395378,1.2194406628158725e-06
1997-11-16,1998,1,23,545807,323394,0.5925061422810627,0,,,
1997-11-16,1998,1,24,545807,323963,0.5935486353234751,0,,,
1997-11-16,1998,1,25,545807,322588,0.5910294298167668,0,,,
1997-11-16,1998,1,26,545807,322813,0.5914416634451372,0,,,
1997-11-17,1998,2,0,545807,300936,0.5513597297213118,0,1.0,0.041436697356402874,7.015933023791015e-07
1997-11-17,1998,2,23,545807,325876,0.5970535372393538,0,,,
1997-11-17,1998,2,24,545807,323392,0.5925024779821438,0,,,
1997-11-17,1998,2,25,545807,323963,0.5935486353234751,0,,,
1997-11-17,1998,2,26,545807,322588,0.5910294298167668,0,,,
1997-11-18,1998,3,0,545807,298762,0.5473766367965233,0,1.0,0.3983994126319885,1.918228889047308e-06
1997-11-18,1998,3,23,545807,320302,0.5868411361525228,0,,,
1997-11-18,1998,3,24,545807,325875,0.5970517050898944,0,,,
1997-11-18,1998,3,25,545807,323390,0.592498813683225,0,,,
1997-11-18,1998,3,26,545807,323964,0.5935504674729346,0,,,
1997-11-19,1998,4,0,545807,296880,0.5439285315138868,0,0.0,0.16695713996887207,9.518798285890438e-07
1997-11-19,1998,4,23,545807,317126,0.5810222294693912,0,,,
1997-11-19,1998,4,24,545807,320299,0.5868356397041445,0,,,
1997-11-19,1998,4,25,545807,325875,0.5970517050898944,0,,,
1997-11-19,1998,4,26,545807,323392,0.5925024779821438,0,,,
1997-11-20,1998,5,0,545807,293565,0.5378549560558952,0,1.0,0.03686314821243286,4.507103002806449e-07
1997-11-20,1998,5,23,545807,319929,0.5861577444041575,0,,,
1997-11-20,1998,5,24,545807,317124,0.5810185651704723,0,,,
1997-11-20,1998,5,25,545807,320298,0.5868338075546851,0,,,
1997-11-20,1998,5,26,545807,325876,0.5970535372393538,0,,,
1997-11-21,1998,6,0,545807,294954,0.5403998116550356,0,0.0,0.05572017282247543,7.399897857224206e-07
1997-11-21,1998,6,23,545807,320603,0.5873926131398095,0,,,
1997-11-21,1998,6,24,545807,319929,0.5861577444041575,0,,,
1997-11-21,1998,6,25,545807,317129,0.5810277259177695,0,,,
1997-11-21,1998,6,26,545807,320300,0.5868374718536039,0,,,
1997-11-22,1998,7,0,545807,292019,0.5350224529916252,0,1.0,0.16583485715091228,9.083364141437002e-07
1997-11-22,1998,7,23,545807,320475,0.5871580980090032,0,,,
1997-11-22,1998,7,24,545807,320602,0.58739078099035,0,,,
1997-11-22,1998,7,25,545807,319930,0.586159576553617,0,,,
1997-11-22,1998,7,26,545807,317127,0.5810240616188507,0,,,
1997-11-23,1998,8,0,545807,290283,0.5318418415300646,0,2.0,0.1603713035583496,1.1586365074810378e-06
1997-11-23,1998,8,23,545807,317328,0.5813923236601949,0,,,
1997-11-23,1998,8,24,545807,320474,0.5871562658595437,0,,,
1997-11-23,1998,8,25,545807,320599,0.5873852845419718,0,,,
1997-11-23,1998,8,26,545807,319928,0.5861559122546981,0,,,
1997-11-24,1998,9,0,545807,291373,0.5338388844408372,0,0.0,0.08762243390083313,1.3459317240336175e-06
1997-11-24,1998,9,23,545807,312597,0.5727244245676585,0,,,
1997-11-24,1998,9,24,545807,317328,0.5813923236601949,0,,,
1997-11-24,1998,9,25,545807,320473,0.5871544337100844,0,,,
1997-11-24,1998,9,26,545807,320601,0.5873889488408907,0,,,
1997-11-25,1998,10,0,545807,285054,0.522261532006735,0,1.0,0.20450377464294434,1.2610152485376503e-06
1997-11-25,1998,10,23,545807,306152,0.560916221301669,0,,,
1997-11-25,1998,10,24,545807,312599,0.5727280888665773,0,,,
1997-11-25,1998,10,25,545807,317325,0.5813868272118167,0,,,
1997-11-25,1998,10,26,545807,320474,0.5871562658595437,0,,,
1997-11-26,1998,11,0,545807,282865,0.5182509568400552,0,0.0,0.18335885740816593,1.6617000016015349e-06
1997-11-26,1998,11,23,545807,300457,0.5504821301302475,0,,,
1997-11-26,1998,11,24,545807,306149,0.5609107248532906,0,,,
1997-11-26,1998,11,25,545807,312596,0.5727225924181991,0,,,
1997-11-26,1998,11,26,545807,317327,0.5813904915107355,0,,,
1997-11-27,1998,12,0,545807,279572,0.5122176886701709,0,1.0,0.05636398866772652,7.835697649984741e-07
1997-11-27,1998,12,23,545807,299999,0.5496430056778312,0,,,
1997-11-27,1998,12,24,545807,300452,0.5504729693829504,0,,,
1997-11-27,1998,12,25,545807,306148,0.5609088927038312,0,,,
1997-11-27,1998,12,26,545807,312597,0.5727244245676585,0,,,
1997-11-28,1998,13,0,545807,269213,0.4932384524199946,0,3.0,0.1675468385219574,2.0349748030060264e-06
1997-11-28,1998,13,23,545807,301001,0.5514788194361743,0,,,
1997-11-28,1998,13,24,545807,299999,0.5496430056778312,0,,,
1997-11-28,1998,13,25,545807,300456,0.5504802979807881,0,,,
1997-11-28,1998,13,26,545807,306150,0.5609125570027501,0,,,
1997-11-29,1998,14,0,545807,258244,0.4731416049995694,0,4.0,0.0824354887008667,1.1412340526709677e-06
1997-11-29,1998,14,23,545807,299326,0.5484099690916386,0,,,
1997-11-29,1998,14,24,545807,301000,0.5514769872867149,0,,,
1997-11-29,1998,14,25,545807,300000,0.5496448378272906,0,,,
1997-11-29,1998,14,26,545807,300455,0.5504784658313286,0,,,
1997-11-30,1998,15,0,545807,252363,0.4623667340286951,0,3.0,0.26160725951194763,1.8659932655494116e-06
1997-11-30,1998,15,23,545807,297473,0.5450149961433254,0,,,
1997-11-30,1998,15,24,545807,299328,0.5484136333905575,0,,,
1997-11-30,1998,15,25,545807,300998,0.551473322987796,0,,,
1997-11-30,1998,15,26,545807,300001,0.54964666997675,0,,,
1997-12-01,1998,16,0,545807,243662,0.44642520158224425,0,2.0,0.2336331307888031,2.6361556743606177e-06
1997-12-01,1998,16,23,545807,295866,0.5420707319620305,0,,,
1997-12-01,1998,16,24,545807,297473,0.5450149961433254,0,,,
1997-12-01,1998,16,25,545807,299331,0.5484191298389357,0,,,
1997-12-01,1998,16,26,545807,301002,0.5514806515856338,0,,,
1997-12-02,1998,17,0,545807,233677,0.42813118922989263,0,4.0,0.24419662356376648,2.1200594159941872e-06
1997-12-02,1998,17,23,545807,296566,0.5433532365836276,0,,,
1997-12-02,1998,17,24,545807,295866,0.5420707319620305,0,,,
1997-12-02,1998,17,25,545807,297471,0.5450113318444065,0,,,
1997-12-02,1998,17,26,545807,299328,0.5484136333905575,0,,,
1997-12-03,1998,18,0,545807,230053,0.42149147958893896,0,1.0,0.09059092402458191,1.223731659801972e-06
1997-12-03,1998,18,23,545807,299125,0.5480417070502943,0,,,
1997-12-03,1998,18,24,545807,296569,0.5433587330320058,0,,,
1997-12-03,1998,18,25,545807,295864,0.5420670676631116,0,,,
1997-12-03,1998,18,26,545807,297471,0.5450113318444065,0,,,
1997-12-04,1998,19,0,545807,227327,0.4164970401625483,0,1.0,0.08028643764555454,1.4528168172350383e-06
1997-12-04,1998,19,23,545807,301482,0.5523600833261574,0,,,
1997-12-04,1998,19,24,545807,299126,0.5480435391997538,0,,,
1997-12-04,1998,19,25,545807,296567,0.5433550687330869,0,,,
1997-12-04,1998,19,26,545807,295866,0.5420707319620305,0,,,
1997-12-05,1998,20,0,545807,223545,0.4095678509070056,0,1.0,0.13569822907447815,1.0742596967573687e-06
1997-12-05,1998,20,23,545807,303365,0.5558100207582534,0,,,
1997-12-05,1998,20,24,545807,301484,0.5523637476250762,0,,,
1997-12-05,1998,20,25,545807,299123,0.5480380427513755,0,,,
1997-12-05,1998,20,26,545807,296570,0.5433605651814652,0,,,
1997-12-06,1998,21,0,545807,213379,0.39094221950249813,0,2.0,0.11465799808502197,1.757001555897794e-06
1997-12-06,1998,21,23,545807,303594,0.5562295829844616,0,,,
1997-12-06,1998,21,24,545807,303365,0.5558100207582534,0,,,
1997-12-06,1998,21,25,545807,301483,0.5523619154756169,0,,,
1997-12-06,1998,21,26,545807,299124,0.548039874900835,0,,,
1997-12-07,1998,22,0,545807,215684,0.39516532400647114,0,3.0,0.45380496978759766,2.1572249604036093e-06
1997-12-07,1998,22,23,545807,302642,0.5544853766990896,0,,,
1997-12-07,1998,22,24,545807,303595,0.5562314151339209,0,,,
1997-12-07,1998,22,25,545807,303363,0.5558063564593345,0,,,
