release_date,spawning_year,release_month,n_particles,n_M6,n_M6_north_1979-2015,n_M6_north_2016-2025,n_M6_north_envelope
2020-01-26,2020,1,545807,189576,184942,186260,184942
2020-01-27,2020,1,545807,189246,184680,185927,184680
2020-01-28,2020,1,545807,188797,184301,185524,184301
2020-01-29,2020,1,545807,188341,183951,185192,183951
2020-01-30,2020,1,545807,187929,183700,184934,183700
2020-01-31,2020,1,545807,188043,183801,185039,183801
2020-02-01,2020,2,545807,187346,183656,184714,183656
2020-02-02,2020,2,545807,187246,183640,184713,183640
2020-02-03,2020,2,545807,186976,183401,184433,183401
2020-02-04,2020,2,545807,186123,182457,183429,182457
2020-02-05,2020,2,545807,185523,181997,182884,181997
2020-02-06,2020,2,545807,184602,181161,182088,181159
2020-02-07,2020,2,545807,183778,180388,181240,180383
2020-02-08,2020,2,545807,183156,179964,180756,179957
2020-02-09,2020,2,545807,182826,179553,180437,179538
2020-02-10,2020,2,545807,182624,179491,180328,179477
2020-02-11,2020,2,545807,181530,178965,179795,178953
2020-02-12,2020,2,545807,180881,178703,179497,178698
2020-02-13,2020,2,545807,180936,178847,179633,178846
2020-02-14,2020,2,545807,180622,178645,179416,178645
2020-02-15,2020,2,545807,180255,178472,179163,178472
2020-02-16,2020,2,545807,179795,178180,178838,178180
2020-02-17,2020,2,545807,179567,177920,178584,177920
2020-02-18,2020,2,545807,179537,178000,178592,178000
2020-02-19,2020,2,545807,179592,177990,178627,177990
2020-02-20,2020,2,545807,178618,177148,177746,177148
2020-02-21,2020,2,545807,177786,176226,176828,176226
2020-02-22,2020,2,545807,177527,176059,176530,176059
2020-02-23,2020,2,545807,177150,175581,176093,175581
2020-02-24,2020,2,545807,176971,175412,175917,175412
2020-02-25,2020,2,545807,176841,175331,175785,175331
2020-02-26,2020,2,545807,176789,175359,175804,175359
2020-02-27,2020,2,545807,176548,175160,175544,175160
2020-02-28,2020,2,545807,176626,175319,175724,175319
2020-02-29,2020,2,545807,176363,175081,175528,175081
2020-03-01,2020,3,545807,176524,175302,175725,175302
2020-03-02,2020,3,545807,176146,174939,175382,174939
2020-03-03,2020,3,545807,176097,174875,175335,174875
2020-03-04,2020,3,545807,175932,174748,175217,174748
2020-03-05,2020,3,545807,175718,174623,174999,174623
2020-03-06,2020,3,545807,174988,173869,174255,173869
2020-03-07,2020,3,545807,174921,173919,174288,173919
2020-03-08,2020,3,545807,174981,173986,174314,173986
2020-03-09,2020,3,545807,175206,174141,174512,174141
2020-03-10,2020,3,545807,175104,174048,174447,174048
2020-03-11,2020,3,545807,174875,173855,174252,173855
2020-03-12,2020,3,545807,174946,173858,174301,173858
2020-03-13,2020,3,545807,174519,173524,173873,173524
2020-03-14,2020,3,545807,174260,173296,173660,173296
